,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time
0,2,0,,"{'loss': 0.47038265143467184, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [0], 'x_l2_leaf_reg': [0], 'x_learning_rate': [0], 'x_max_depth': [0]}, 'vals': {'n_estimators': [700.0], 'x_l2_leaf_reg': [0.48616605619708564], 'x_learning_rate': [0.20491475447173416], 'x_max_depth': [10.0]}}",,,0,2022-04-03 14:35:23.342,2022-04-03 14:35:35.413
1,2,1,,"{'loss': 0.4810184891191433, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [1], 'x_l2_leaf_reg': [1], 'x_learning_rate': [1], 'x_max_depth': [1]}, 'vals': {'n_estimators': [600.0], 'x_l2_leaf_reg': [0.230434187813086], 'x_learning_rate': [0.2103581315455136], 'x_max_depth': [10.0]}}",,,0,2022-04-03 14:35:35.426,2022-04-03 14:35:45.673
2,2,2,,"{'loss': 0.5004033570945614, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [2], 'x_l2_leaf_reg': [2], 'x_learning_rate': [2], 'x_max_depth': [2]}, 'vals': {'n_estimators': [2000.0], 'x_l2_leaf_reg': [1.9441238485728958], 'x_learning_rate': [0.010586210084712389], 'x_max_depth': [8.0]}}",,,0,2022-04-03 14:35:45.688,2022-04-03 14:35:58.094
3,2,3,,"{'loss': 0.5362740844381868, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [3], 'x_l2_leaf_reg': [3], 'x_learning_rate': [3], 'x_max_depth': [3]}, 'vals': {'n_estimators': [1500.0], 'x_l2_leaf_reg': [0.26306990231581967], 'x_learning_rate': [0.34866868993413186], 'x_max_depth': [14.0]}}",,,0,2022-04-03 14:35:58.107,2022-04-03 14:42:20.921
4,2,4,,"{'loss': 0.608823096474892, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [4], 'x_l2_leaf_reg': [4], 'x_learning_rate': [4], 'x_max_depth': [4]}, 'vals': {'n_estimators': [300.0], 'x_l2_leaf_reg': [0.9940513042965465], 'x_learning_rate': [0.02748194103629828], 'x_max_depth': [4.0]}}",,,0,2022-04-03 14:42:20.934,2022-04-03 14:42:21.634
5,2,5,,"{'loss': 0.4793132370553146, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [5], 'x_l2_leaf_reg': [5], 'x_learning_rate': [5], 'x_max_depth': [5]}, 'vals': {'n_estimators': [1000.0], 'x_l2_leaf_reg': [2.888188476888583], 'x_learning_rate': [0.17896604327582943], 'x_max_depth': [14.0]}}",,,0,2022-04-03 14:42:21.647,2022-04-03 14:46:36.299
6,2,6,,"{'loss': 0.57596239493413, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [6], 'x_l2_leaf_reg': [6], 'x_learning_rate': [6], 'x_max_depth': [6]}, 'vals': {'n_estimators': [200.0], 'x_l2_leaf_reg': [1.4872142427074422], 'x_learning_rate': [0.39959615703603946], 'x_max_depth': [3.0]}}",,,0,2022-04-03 14:46:36.313,2022-04-03 14:46:36.722
7,2,7,,"{'loss': 0.4506121016527252, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [7], 'x_l2_leaf_reg': [7], 'x_learning_rate': [7], 'x_max_depth': [7]}, 'vals': {'n_estimators': [1400.0], 'x_l2_leaf_reg': [2.956921077514873], 'x_learning_rate': [0.18062189156014183], 'x_max_depth': [10.0]}}",,,0,2022-04-03 14:46:36.738,2022-04-03 14:47:00.110
8,2,8,,"{'loss': 0.4784419681443188, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [8], 'x_l2_leaf_reg': [8], 'x_learning_rate': [8], 'x_max_depth': [8]}, 'vals': {'n_estimators': [2000.0], 'x_l2_leaf_reg': [2.7567959093761973], 'x_learning_rate': [0.10552869957665177], 'x_max_depth': [7.0]}}",,,0,2022-04-03 14:47:00.123,2022-04-03 14:47:08.143
9,2,9,,"{'loss': 0.4891727103402586, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [9], 'x_l2_leaf_reg': [9], 'x_learning_rate': [9], 'x_max_depth': [9]}, 'vals': {'n_estimators': [1600.0], 'x_l2_leaf_reg': [2.254572236921054], 'x_learning_rate': [0.2972386681556933], 'x_max_depth': [12.0]}}",,,0,2022-04-03 14:47:08.157,2022-04-03 14:48:47.320
10,2,10,,"{'loss': 0.46401551525593504, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [10], 'x_l2_leaf_reg': [10], 'x_learning_rate': [10], 'x_max_depth': [10]}, 'vals': {'n_estimators': [1400.0], 'x_l2_leaf_reg': [2.3649941378148567], 'x_learning_rate': [0.09768072694957258], 'x_max_depth': [6.0]}}",,,0,2022-04-03 14:48:47.332,2022-04-03 14:48:51.360
11,2,11,,"{'loss': 0.48071647430324094, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [11], 'x_l2_leaf_reg': [11], 'x_learning_rate': [11], 'x_max_depth': [11]}, 'vals': {'n_estimators': [1100.0], 'x_l2_leaf_reg': [1.498145274384472], 'x_learning_rate': [0.2674634920541912], 'x_max_depth': [12.0]}}",,,0,2022-04-03 14:48:51.374,2022-04-03 14:49:59.026
12,2,12,,"{'loss': 0.496807605334413, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [12], 'x_l2_leaf_reg': [12], 'x_learning_rate': [12], 'x_max_depth': [12]}, 'vals': {'n_estimators': [1800.0], 'x_l2_leaf_reg': [0.922321702307972], 'x_learning_rate': [0.10488332259177875], 'x_max_depth': [5.0]}}",,,0,2022-04-03 14:49:59.040,2022-04-03 14:50:03.038
13,2,13,,"{'loss': 0.475760664315963, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [13], 'x_l2_leaf_reg': [13], 'x_learning_rate': [13], 'x_max_depth': [13]}, 'vals': {'n_estimators': [1200.0], 'x_l2_leaf_reg': [2.599618638902951], 'x_learning_rate': [0.38116969036874493], 'x_max_depth': [12.0]}}",,,0,2022-04-03 14:50:03.057,2022-04-03 14:51:17.326
14,2,14,,"{'loss': 0.47543168280337544, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'n_estimators': [14], 'x_l2_leaf_reg': [14], 'x_learning_rate': [14], 'x_max_depth': [14]}, 'vals': {'n_estimators': [800.0], 'x_l2_leaf_reg': [1.9282403463850504], 'x_learning_rate': [0.05741360683037347], 'x_max_depth': [15.0]}}",,,0,2022-04-03 14:51:17.342,2022-04-03 14:58:14.717
